id,title,domain,severity,effort,files,evidence,recommendation,cve
SEC-01,"pip-audit [tool.pip-audit] ignore-vuln block is inert; CLI ignores it, releases may block on accepted vulns (merges DEP-02)",security,High,S,pyproject.toml;.github/workflows/security-analysis.yml;docs/known-vulnerabilities.md,"uv run pip-audit returns exit 1 reporting py 1.11.0 PYSEC-2022-42969 despite [tool.pip-audit] ignore-vuln (pyproject.toml:99-109); only --ignore-vuln flag works (exit 0, 1 ignored). security-analysis.yml:40-42 comment claims the block is honored.","Pass --ignore-vuln flags explicitly in the CI invocation or confirm the org python-ci.yml does, and correct the misleading comment.",PYSEC-2022-42969;PYSEC-2026-89
CICD-01,SLSA provenance never auto-fires; triggers on a non-existent Semantic Release workflow,cicd,High,S,.github/workflows/slsa-provenance.yml;.github/workflows/release.yml,slsa-provenance.yml:12-15 workflow_run on workflows: ['Semantic Release'] which no workflow declares; release.yml:30 sets semantic-release: false. Provenance only via manual dispatch.,Point workflow_run at the actual release workflow name or trigger on release: published like release-sign.yml.,
DOC-01,development.md states 80% coverage and basedpyright standard; actual is 65 and strict; CHANGELOG claims a fix not in HEAD,docs,High,S,docs/development.md;pyproject.toml;CHANGELOG.md,development.md:56 says 80% and :69 'standard' mode; pyproject.toml:115 fail_under=65 and :84 typeCheckingMode strict; CHANGELOG.md:67-69 claims both lines were already corrected.,Set development.md to 65% and strict; drop unenforced 90% rows; investigate why the CHANGELOG-claimed fix is absent from HEAD.,
DEP-03,"Python 3.11 EOL 2026-10-31 (~5 months); floor, pin, ruff, basedpyright, CI all target 3.11",dependencies,High,M,.python-version;pyproject.toml;.github/workflows/ci.yml,"Python 3.11 final security release 2026-10-31. .python-version=3.11; requires-python >=3.11,<4; ruff target-version py311; basedpyright pythonVersion 3.11; ci.yml python-version 3.11.",Move the pinned interpreter and CI default to 3.12 before 2026-10-31; keep the >=3.11 floor only if still wanted.,
CICD-02,basedpyright (strict) and semgrep never run in CI; both are local or advisory only,cicd,High,M,.pre-commit-config.yaml;.semgrep.yaml;.github/workflows/,grep for basedpyright/semgrep across all workflows returns nothing. basedpyright is a local language:system pre-commit hook (.pre-commit-config.yaml:60-68); semgrep runs only via Qlty (.qlty/qlty.toml:96) mode=comment (advisory).,"Add a blocking basedpyright strict job and a blocking semgrep job, or confirm the org python-ci.yml runs them.",
DEP-01,"darglint abandoned: repo archived 2022-12-16, last release 2021-10-18 (55 months)",dependencies,Medium,S,pyproject.toml;uv.lock,"uv.lock darglint 1.8.1 upload-time 2021-10-18T03:40:35Z; GitHub terrencepreilly/darglint archived 2022-12-16, read-only.",Drop darglint and fold docstring linting into ruff pydocstyle D rules; remove the [tool.darglint] config.,
ARCH-01,Persistence layer writes terminal output; load_all prints via its own Console; library callers get stdout,architecture,Medium,S,src/gleif/db.py,"db.py:68 instantiates console = Console(); load_all prints at db.py:433,435,439,441,443. Two independent Console instances (db.py:68 and rendering.py:36). __init__.py advertises load_all for programmatic use.",Have load_all return per-step counts or take a callback and let cli.py render; at minimum route through rendering.console.,
SEC-02,"detect-secrets absent from deps/venv; baseline enforced only via contributor pre-commit, no CI path",security,Medium,S,pyproject.toml;.secrets.baseline;.pre-commit-config.yaml,"uv run detect-secrets scan fails (not installed); detect-secrets is in no dependency group. It runs only via the pre-commit hook (.pre-commit-config.yaml:64-70). No uv run path, no CI job.",Add detect-secrets to the dev dependency group and add a CI step that runs it against .secrets.baseline.,
CICD-03,Coverage threshold drift; .codecov.yml targets 80% but is orphaned (no Codecov upload),cicd,Medium,S,.codecov.yml;pyproject.toml;.github/workflows/ci.yml,".codecov.yml:5,9 target 80% project and patch; pyproject.toml:115 fail_under=65 and ci.yml:39 coverage-threshold 65; grep codecov in workflows is empty (coverage flows to Qlty).","Delete .codecov.yml since Codecov is not in the pipeline, or wire it up and reconcile to a single number.",
CICD-05,Python 3.10 in compat matrix across 3 OS but forbidden by requires-python >=3.11,cicd,Medium,S,.github/workflows/python-compatibility.yml;pyproject.toml,"python-compatibility.yml:41 matrix includes '3.10' across macOS/Windows/Linux; pyproject.toml:10 requires-python >=3.11,<4 and classifiers list only 3.11/3.12/3.13.","Drop 3.10 from the matrix, or lower requires-python to >=3.10 and add the classifier; pick one.",
